Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	9.54	9.78	9.42	9.7	5124100	9.7	300110	华仁药业	SZ
1	2014-04-28	9.81	9.88	9.33	9.57	5145700	9.57	300110	华仁药业	SZ
2	2014-04-25	10.18	10.31	9.86	9.89	3473700	9.89	300110	华仁药业	SZ
3	2014-04-24	10.18	10.3	10.12	10.18	2085400	10.18	300110	华仁药业	SZ
4	2014-04-23	10.41	10.45	10.1	10.15	2987900	10.15	300110	华仁药业	SZ
5	2014-04-22	10.85	10.93	10.2	10.41	4995100	10.41	300110	华仁药业	SZ
6	2014-04-21	10.99	11.1	10.8	10.82	2956800	10.82	300110	华仁药业	SZ
7	2014-04-18	10.75	11.1	10.73	11.1	3822300	11.1	300110	华仁药业	SZ
8	2014-04-17	10.83	10.98	10.81	10.82	2386000	10.82	300110	华仁药业	SZ
9	2014-04-16	10.82	10.85	10.67	10.82	2060900	10.82	300110	华仁药业	SZ
10	2014-04-15	10.88	10.95	10.73	10.81	3346100	10.81	300110	华仁药业	SZ
11	2014-04-14	10.79	10.96	10.79	10.89	2565400	10.89	300110	华仁药业	SZ
12	2014-04-11	11.18	11.18	10.68	10.79	5530000	10.79	300110	华仁药业	SZ
13	2014-04-10	11.29	11.39	11.18	11.2	3490100	11.2	300110	华仁药业	SZ
14	2014-04-09	11.09	11.47	11.08	11.29	3684900	11.29	300110	华仁药业	SZ
15	2014-04-08	10.9	11.17	10.76	11.14	3332200	11.14	300110	华仁药业	SZ
17	2014-04-04	10.69	11.03	10.69	10.97	2454200	10.97	300110	华仁药业	SZ
18	2014-04-03	10.61	10.92	10.56	10.84	4507800	10.84	300110	华仁药业	SZ
19	2014-04-02	10.89	10.93	10.4	10.64	4889600	10.64	300110	华仁药业	SZ
20	2014-04-01	10.71	10.95	10.65	10.89	5576600	10.89	300110	华仁药业	SZ
21	2014-03-31	11.01	11.32	10.53	10.67	6164600	10.67	300110	华仁药业	SZ
22	2014-03-28	11.46	11.59	10.9	11.1	6723500	11.1	300110	华仁药业	SZ
23	2014-03-27	12.23	12.3	11.4	11.42	8231800	11.42	300110	华仁药业	SZ
24	2014-03-26	11.86	12.53	11.85	12.22	7102600	12.22	300110	华仁药业	SZ
25	2014-03-25	11.73	11.89	11.6	11.82	4405300	11.82	300110	华仁药业	SZ
26	2014-03-24	12.27	12.27	11.7	11.75	8504700	11.75	300110	华仁药业	SZ
27	2014-03-21	12.45	12.49	11.78	12.27	10464800	12.27	300110	华仁药业	SZ
28	2014-03-20	13.64	13.75	12.58	12.6	10957400	12.6	300110	华仁药业	SZ
29	2014-03-19	13.44	13.79	13.27	13.66	5229100	13.66	300110	华仁药业	SZ
30	2014-03-18	13.38	13.78	13.2	13.46	7251400	13.46	300110	华仁药业	SZ
31	2014-03-17	12.65	13.73	12.58	13.48	9859200	13.48	300110	华仁药业	SZ
32	2014-03-14	12.6	12.95	12.4	12.73	4077800	12.73	300110	华仁药业	SZ
33	2014-03-13	12.2	12.9	12.02	12.58	5914400	12.58	300110	华仁药业	SZ
34	2014-03-12	12.2	12.54	11.75	12.27	5612200	12.27	300110	华仁药业	SZ
35	2014-03-11	12.5	12.83	11.55	12.12	7636500	12.12	300110	华仁药业	SZ
36	2014-03-10	12.9	13.52	12.22	12.5	8266100	12.5	300110	华仁药业	SZ
37	2014-03-07	13.21	13.67	12.81	13.2	10364300	13.2	300110	华仁药业	SZ
38	2014-03-06	12.4	13.71	12.3	13.28	15166300	13.28	300110	华仁药业	SZ
39	2014-03-05	12.66	12.74	12.27	12.46	5420700	12.46	300110	华仁药业	SZ
40	2014-03-04	12.3	12.94	12.15	12.66	10985200	12.66	300110	华仁药业	SZ
41	2014-03-03	11.49	12.5	11.46	12.48	10653700	12.48	300110	华仁药业	SZ
42	2014-02-28	11.46	11.69	11	11.52	6517200	11.52	300110	华仁药业	SZ
43	2014-02-27	12.54	12.75	11.4	11.46	11573400	11.46	300110	华仁药业	SZ
44	2014-02-26	11.97	12.5	11.39	12.3	10213300	12.3	300110	华仁药业	SZ
45	2014-02-25	13	13.37	11.78	12.23	17706400	12.23	300110	华仁药业	SZ
46	2014-02-24	11.92	12.99	11.78	12.94	16277000	12.94	300110	华仁药业	SZ
47	2014-02-21	12	12.29	11.7	12	7535600	12	300110	华仁药业	SZ
48	2014-02-20	12	12.35	11.39	12.23	15194200	12.23	300110	华仁药业	SZ
49	2014-02-19	12.3	13.12	11.9	11.98	14796700	11.98	300110	华仁药业	SZ
50	2014-02-18	12.25	12.35	11.93	12.2	10723200	12.2	300110	华仁药业	SZ
51	2014-02-17	11.5	12.39	11.23	12.36	18497500	12.36	300110	华仁药业	SZ
52	2014-02-14	10.21	11.26	10.2	11.26	17139600	11.26	300110	华仁药业	SZ
53	2014-02-13	10.54	10.63	10.2	10.24	9384200	10.24	300110	华仁药业	SZ
54	2014-02-12	10.3	10.67	10.26	10.58	12476900	10.58	300110	华仁药业	SZ
55	2014-02-11	10.11	10.35	9.88	10.2	10367500	10.2	300110	华仁药业	SZ
56	2014-02-10	9.95	10.38	9.95	10.17	11151600	10.17	300110	华仁药业	SZ
57	2014-02-07	9.49	9.88	9.43	9.88	7402600	9.88	300110	华仁药业	SZ
62	2014-01-30	9.46	9.69	9.33	9.55	6330300	9.55	300110	华仁药业	SZ
63	2014-01-29	9.13	9.46	9.01	9.46	6221800	9.46	300110	华仁药业	SZ
64	2014-01-28	9.17	9.26	8.97	9.08	3371600	9.08	300110	华仁药业	SZ
65	2014-01-27	9.29	9.3	9.07	9.17	4203800	9.17	300110	华仁药业	SZ
66	2014-01-24	9.12	9.32	9.09	9.29	5590400	9.29	300110	华仁药业	SZ
67	2014-01-23	9.08	9.25	9.03	9.13	4331000	9.13	300110	华仁药业	SZ
68	2014-01-22	8.98	9.1	8.89	9.1	5524500	9.1	300110	华仁药业	SZ
69	2014-01-21	8.87	9.03	8.83	8.98	3767300	8.98	300110	华仁药业	SZ
70	2014-01-20	9.33	9.44	8.7	8.85	7035300	8.85	300110	华仁药业	SZ
71	2014-01-17	9.52	9.69	9.32	9.36	3738800	9.36	300110	华仁药业	SZ
72	2014-01-16	9.67	9.7	9.51	9.54	3046000	9.54	300110	华仁药业	SZ
73	2014-01-15	9.69	9.78	9.49	9.66	3767800	9.66	300110	华仁药业	SZ
74	2014-01-14	9.29	9.9	9.27	9.69	8393400	9.69	300110	华仁药业	SZ
75	2014-01-13	9.21	9.4	9.21	9.3	2311700	9.3	300110	华仁药业	SZ
76	2014-01-10	9.18	9.45	9.15	9.29	4424600	9.29	300110	华仁药业	SZ
77	2014-01-09	9.58	9.79	9.3	9.37	6305000	9.37	300110	华仁药业	SZ
78	2014-01-08	9.47	9.71	9.4	9.62	7247700	9.62	300110	华仁药业	SZ
79	2014-01-07	9.2	9.55	9.1	9.46	6956100	9.46	300110	华仁药业	SZ
80	2014-01-06	9.08	9.55	9.08	9.3	12851300	9.3	300110	华仁药业	SZ
81	2014-01-03	8.91	9.16	8.81	9.06	4981800	9.06	300110	华仁药业	SZ
82	2014-01-02	8.66	8.93	8.63	8.92	4514600	8.92	300110	华仁药业	SZ
84	2013-12-31	8.68	8.81	8.63	8.66	2501100	8.66	300110	华仁药业	SZ
85	2013-12-30	8.75	8.9	8.66	8.69	2818900	8.69	300110	华仁药业	SZ
86	2013-12-27	8.55	8.74	8.54	8.68	2453700	8.68	300110	华仁药业	SZ
87	2013-12-26	8.85	8.91	8.6	8.63	2498600	8.63	300110	华仁药业	SZ
88	2013-12-25	8.82	8.85	8.73	8.85	2166600	8.85	300110	华仁药业	SZ
89	2013-12-24	8.89	8.9	8.68	8.8	2662600	8.8	300110	华仁药业	SZ
90	2013-12-23	8.65	8.88	8.53	8.83	4064000	8.83	300110	华仁药业	SZ
91	2013-12-20	8.52	8.68	8.51	8.51	1374400	8.51	300110	华仁药业	SZ
92	2013-12-19	8.65	8.73	8.6	8.6	1656000	8.6	300110	华仁药业	SZ
93	2013-12-18	8.65	8.7	8.56	8.63	1488100	8.63	300110	华仁药业	SZ
94	2013-12-17	8.5	8.7	8.49	8.65	1942300	8.65	300110	华仁药业	SZ
95	2013-12-16	8.71	8.72	8.52	8.55	1962900	8.55	300110	华仁药业	SZ
96	2013-12-13	8.73	8.84	8.71	8.73	2383600	8.73	300110	华仁药业	SZ
97	2013-12-12	8.58	8.9	8.53	8.78	3688000	8.78	300110	华仁药业	SZ
98	2013-12-11	8.71	8.8	8.53	8.65	3335100	8.65	300110	华仁药业	SZ
99	2013-12-10	8.49	8.59	8.48	8.53	1985400	8.53	300110	华仁药业	SZ
100	2013-12-09	8.46	8.56	8.42	8.53	1967600	8.53	300110	华仁药业	SZ
101	2013-12-06	8.46	8.54	8.41	8.52	2679600	8.52	300110	华仁药业	SZ
102	2013-12-05	8.66	8.66	8.33	8.47	5904700	8.47	300110	华仁药业	SZ
103	2013-12-04	8.71	8.83	8.63	8.65	4419300	8.65	300110	华仁药业	SZ
104	2013-12-03	8.61	8.81	8.28	8.7	3126400	8.7	300110	华仁药业	SZ
105	2013-12-02	9	9.19	8.6	8.67	5965100	8.67	300110	华仁药业	SZ
106	2013-11-29	9.2	9.49	9.16	9.45	5593400	9.45	300110	华仁药业	SZ
107	2013-11-28	9.12	9.24	9.1	9.2	3616600	9.2	300110	华仁药业	SZ
108	2013-11-27	9.2	9.2	9.04	9.12	3512300	9.12	300110	华仁药业	SZ
109	2013-11-26	9.06	9.23	9.01	9.2	3923800	9.2	300110	华仁药业	SZ
110	2013-11-25	9.09	9.15	8.9	9.06	2613100	9.06	300110	华仁药业	SZ
111	2013-11-22	9.11	9.17	9.06	9.08	2271500	9.08	300110	华仁药业	SZ
112	2013-11-21	9.08	9.16	9.05	9.1	2200000	9.1	300110	华仁药业	SZ
113	2013-11-20	9.09	9.18	9.05	9.12	2602100	9.12	300110	华仁药业	SZ
114	2013-11-19	9.11	9.13	9.02	9.07	2808500	9.07	300110	华仁药业	SZ
115	2013-11-18	9.1	9.17	8.95	9.11	4831800	9.11	300110	华仁药业	SZ
116	2013-11-15	9.02	9.16	8.9	9.03	5364200	9.03	300110	华仁药业	SZ
117	2013-11-14	8.8	9.21	8.78	9.09	8330700	9.09	300110	华仁药业	SZ
118	2013-11-13	8.41	8.68	8.35	8.58	3294500	8.58	300110	华仁药业	SZ
119	2013-11-12	8.26	8.51	8.26	8.41	1701200	8.41	300110	华仁药业	SZ
120	2013-11-11	8.12	8.3	8.12	8.26	1584300	8.26	300110	华仁药业	SZ
121	2013-11-08	8.54	8.57	8.2	8.25	2742600	8.25	300110	华仁药业	SZ
122	2013-11-07	8.45	8.62	8.42	8.53	2226600	8.53	300110	华仁药业	SZ
123	2013-11-06	8.42	8.66	8.42	8.5	2519600	8.5	300110	华仁药业	SZ
124	2013-11-05	8.34	8.51	8.25	8.5	3269100	8.5	300110	华仁药业	SZ
125	2013-11-04	8.51	8.51	8.34	8.34	2216600	8.34	300110	华仁药业	SZ
126	2013-11-01	8.59	8.59	8.26	8.48	2430500	8.48	300110	华仁药业	SZ
127	2013-10-31	8.64	8.78	8.51	8.59	1797200	8.59	300110	华仁药业	SZ
128	2013-10-30	8.35	8.72	8.35	8.65	1763400	8.65	300110	华仁药业	SZ
129	2013-10-29	8.7	8.9	8.25	8.45	3722800	8.45	300110	华仁药业	SZ
130	2013-10-28	9.01	9.07	8.43	8.89	3755300	8.89	300110	华仁药业	SZ
131	2013-10-25	9.28	9.28	8.9	9	3645400	9	300110	华仁药业	SZ
132	2013-10-24	9.14	9.27	9.11	9.18	2341800	9.18	300110	华仁药业	SZ
133	2013-10-23	9.71	9.72	9.12	9.2	9253300	9.2	300110	华仁药业	SZ
134	2013-10-22	10.01	10.05	9.74	9.77	5513200	9.77	300110	华仁药业	SZ
135	2013-10-21	9.78	10.04	9.75	9.99	4376700	9.99	300110	华仁药业	SZ
136	2013-10-18	9.65	9.8	9.65	9.76	2143200	9.76	300110	华仁药业	SZ
137	2013-10-17	9.88	9.98	9.61	9.68	4295700	9.68	300110	华仁药业	SZ
138	2013-10-16	10.25	10.25	9.71	9.82	6671700	9.82	300110	华仁药业	SZ
139	2013-10-15	10.1	10.42	10.09	10.18	7899300	10.18	300110	华仁药业	SZ
140	2013-10-14	10.08	10.08	9.84	10	6267000	10	300110	华仁药业	SZ
141	2013-10-11	10	10.25	9.97	10.08	4367000	10.08	300110	华仁药业	SZ
142	2013-10-10	10.15	10.28	9.85	9.99	6911800	9.99	300110	华仁药业	SZ
143	2013-10-09	9.78	10.4	9.71	10.17	11737900	10.17	300110	华仁药业	SZ
144	2013-10-08	9.7	9.83	9.56	9.77	4517900	9.77	300110	华仁药业	SZ
150	2013-09-30	9.85	10.07	9.73	9.81	7924000	9.81	300110	华仁药业	SZ
151	2013-09-27	9.38	9.81	9.35	9.78	10633500	9.78	300110	华仁药业	SZ
152	2013-09-26	9.23	9.63	9.22	9.4	9833600	9.4	300110	华仁药业	SZ
153	2013-09-25	9.34	9.34	9.18	9.19	4572500	9.19	300110	华仁药业	SZ
154	2013-09-24	9.44	9.44	9.32	9.36	3209400	9.36	300110	华仁药业	SZ
155	2013-09-23	9.17	9.44	9.16	9.43	5573700	9.43	300110	华仁药业	SZ
157	2013-09-18	9.11	9.21	9.11	9.16	2015200	9.16	300110	华仁药业	SZ
158	2013-09-17	9.42	9.47	9.12	9.12	3156800	9.12	300110	华仁药业	SZ
159	2013-09-16	9.23	9.41	9.17	9.41	4451600	9.41	300110	华仁药业	SZ
160	2013-09-13	9.25	9.28	9.06	9.24	3343200	9.24	300110	华仁药业	SZ
161	2013-09-12	9.28	9.44	9.21	9.28	3082400	9.28	300110	华仁药业	SZ
162	2013-09-11	9.54	9.54	9.25	9.29	5422700	9.29	300110	华仁药业	SZ
163	2013-09-10	9.55	9.66	9.45	9.54	3121000	9.54	300110	华仁药业	SZ
164	2013-09-09	9.66	9.7	9.42	9.52	5001400	9.52	300110	华仁药业	SZ
165	2013-09-06	9.69	9.71	9.6	9.67	2802600	9.67	300110	华仁药业	SZ
