Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	3.39	3.45	3.34	3.41	9440100	3.41	2486	嘉麟杰	SZ
1	2014-04-28	3.58	3.61	3.31	3.33	17430700	3.33	2486	嘉麟杰	SZ
2	2014-04-25	3.7	3.84	3.66	3.66	15571200	3.66	2486	嘉麟杰	SZ
3	2014-04-24	3.74	3.75	3.51	3.72	20249800	3.72	2486	嘉麟杰	SZ
4	2014-04-23	3.92	3.92	3.75	3.76	15246500	3.76	2486	嘉麟杰	SZ
5	2014-04-22	8.38	8.44	7.68	7.89	30087200	3.89	2486	嘉麟杰	SZ
6	2014-04-21	8.5	8.6	8.36	8.38	18363800	4.13	2486	嘉麟杰	SZ
7	2014-04-18	8.56	8.62	8.46	8.59	15573800	4.24	2486	嘉麟杰	SZ
8	2014-04-17	8.8	8.88	8.5	8.53	30685200	4.21	2486	嘉麟杰	SZ
9	2014-04-16	8.41	8.77	8.38	8.65	27145500	4.27	2486	嘉麟杰	SZ
10	2014-04-15	8.6	8.6	8.41	8.44	12780700	4.16	2486	嘉麟杰	SZ
11	2014-04-14	8.47	8.62	8.41	8.6	13810000	4.24	2486	嘉麟杰	SZ
12	2014-04-11	8.61	8.61	8.4	8.49	19698700	4.19	2486	嘉麟杰	SZ
13	2014-04-10	8.76	8.79	8.65	8.68	22008500	4.28	2486	嘉麟杰	SZ
14	2014-04-09	8.67	8.83	8.59	8.79	25559900	4.34	2486	嘉麟杰	SZ
15	2014-04-08	8.48	8.66	8.39	8.65	16851200	4.27	2486	嘉麟杰	SZ
17	2014-04-04	8.41	8.57	8.4	8.56	11730100	4.22	2486	嘉麟杰	SZ
18	2014-04-03	8.53	8.61	8.43	8.48	14549300	4.18	2486	嘉麟杰	SZ
19	2014-04-02	8.68	8.73	8.44	8.55	20940800	4.22	2486	嘉麟杰	SZ
20	2014-04-01	8.44	8.81	8.4	8.73	31219700	4.31	2486	嘉麟杰	SZ
21	2014-03-31	8.18	8.63	8.18	8.37	19594400	4.13	2486	嘉麟杰	SZ
22	2014-03-28	8.57	8.8	8.09	8.17	28165400	4.03	2486	嘉麟杰	SZ
23	2014-03-27	8.73	8.94	8.53	8.64	35430700	4.26	2486	嘉麟杰	SZ
24	2014-03-26	8.35	8.88	8.26	8.79	46709500	4.34	2486	嘉麟杰	SZ
25	2014-03-25	8.2	8.41	8.17	8.3	19028900	4.1	2486	嘉麟杰	SZ
26	2014-03-24	8.21	8.39	8.05	8.28	22036000	4.09	2486	嘉麟杰	SZ
27	2014-03-21	8	8.28	7.87	8.25	16995200	4.07	2486	嘉麟杰	SZ
28	2014-03-20	8.34	8.55	8.07	8.07	19400100	3.98	2486	嘉麟杰	SZ
29	2014-03-19	8.37	8.39	8.21	8.39	18584700	4.14	2486	嘉麟杰	SZ
30	2014-03-18	8.34	8.65	8.27	8.41	28139500	4.15	2486	嘉麟杰	SZ
31	2014-03-17	8.08	8.37	8.03	8.34	23898200	4.12	2486	嘉麟杰	SZ
32	2014-03-14	8.1	8.25	8	8.02	18287100	3.96	2486	嘉麟杰	SZ
33	2014-03-13	7.91	8.3	7.88	8.24	22204700	4.07	2486	嘉麟杰	SZ
