Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	5.91	6.06	5.85	6	1330000	6	2112	三变科技	SZ
1	2014-04-28	6.16	6.16	5.88	5.89	2434400	5.89	2112	三变科技	SZ
2	2014-04-25	6.43	6.46	6.11	6.15	3138200	6.15	2112	三变科技	SZ
3	2014-04-24	6.44	6.46	6.35	6.37	1709800	6.37	2112	三变科技	SZ
4	2014-04-23	6.59	6.6	6.4	6.41	2270200	6.41	2112	三变科技	SZ
5	2014-04-22	6.76	6.8	6.45	6.59	3473900	6.59	2112	三变科技	SZ
6	2014-04-21	6.9	6.95	6.76	6.76	2643100	6.76	2112	三变科技	SZ
7	2014-04-18	6.83	6.98	6.83	6.92	2315600	6.92	2112	三变科技	SZ
8	2014-04-17	6.8	6.87	6.79	6.83	1563100	6.83	2112	三变科技	SZ
9	2014-04-16	6.75	6.84	6.75	6.81	1798700	6.81	2112	三变科技	SZ
10	2014-04-15	6.84	6.88	6.74	6.77	1963500	6.77	2112	三变科技	SZ
11	2014-04-14	6.68	6.88	6.67	6.86	2135300	6.86	2112	三变科技	SZ
12	2014-04-11	6.92	6.92	6.7	6.73	3969900	6.73	2112	三变科技	SZ
13	2014-04-10	7.02	7.06	6.91	6.91	3165300	6.91	2112	三变科技	SZ
14	2014-04-09	7	7.07	6.95	7.02	2106900	7.02	2112	三变科技	SZ
15	2014-04-08	6.83	7.05	6.8	6.97	2062100	6.97	2112	三变科技	SZ
17	2014-04-04	6.78	6.93	6.78	6.87	1433200	6.87	2112	三变科技	SZ
18	2014-04-03	6.82	6.92	6.76	6.81	1802100	6.81	2112	三变科技	SZ
19	2014-04-02	7.01	7.01	6.76	6.84	2724900	6.84	2112	三变科技	SZ
20	2014-04-01	6.81	7.03	6.7	7.01	3168800	7.01	2112	三变科技	SZ
21	2014-03-31	6.86	6.93	6.68	6.8	2886900	6.8	2112	三变科技	SZ
22	2014-03-28	7.19	7.31	6.85	6.86	6467100	6.86	2112	三变科技	SZ
23	2014-03-27	7.69	7.73	7.24	7.24	8240900	7.24	2112	三变科技	SZ
24	2014-03-26	7.72	7.78	7.64	7.68	4373700	7.68	2112	三变科技	SZ
25	2014-03-25	7.76	7.94	7.58	7.72	6179500	7.72	2112	三变科技	SZ
26	2014-03-24	7.59	7.92	7.56	7.83	7517300	7.83	2112	三变科技	SZ
27	2014-03-21	7.51	7.76	7.31	7.62	6426800	7.62	2112	三变科技	SZ
28	2014-03-20	7.83	7.95	7.52	7.55	8108200	7.55	2112	三变科技	SZ
29	2014-03-19	7.51	7.95	7.45	7.92	9786800	7.92	2112	三变科技	SZ
30	2014-03-18	7.74	7.78	7.48	7.53	7644800	7.53	2112	三变科技	SZ
31	2014-03-17	7.68	7.75	7.45	7.75	7093700	7.75	2112	三变科技	SZ
