Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	5.6	6.08	5.6	6.08	12139400	6.08	2307	北新路桥	SZ
1	2014-04-28	5.6	5.68	5.41	5.53	5305200	5.53	2307	北新路桥	SZ
2	2014-04-25	5.87	5.87	5.6	5.61	7309400	5.61	2307	北新路桥	SZ
3	2014-04-24	5.9	6.03	5.81	5.82	5461900	5.82	2307	北新路桥	SZ
4	2014-04-23	5.99	6.02	5.84	5.91	5866400	5.91	2307	北新路桥	SZ
5	2014-04-22	6.1	6.16	5.82	6.05	11376500	6.05	2307	北新路桥	SZ
6	2014-04-21	6.18	6.44	6.18	6.18	12901700	6.18	2307	北新路桥	SZ
7	2014-04-18	6.28	6.46	6.21	6.24	11295100	6.24	2307	北新路桥	SZ
8	2014-04-17	6.5	6.53	6.24	6.24	21843400	6.24	2307	北新路桥	SZ
9	2014-04-16	5.92	6.67	5.9	6.58	47228500	6.58	2307	北新路桥	SZ
10	2014-04-15	6.3	6.44	6.05	6.06	40679200	6.06	2307	北新路桥	SZ
11	2014-04-14	5.43	5.92	5.4	5.92	16471100	5.92	2307	北新路桥	SZ
12	2014-04-11	5.5	5.52	5.35	5.38	9800000	5.38	2307	北新路桥	SZ
13	2014-04-10	5.62	5.87	5.58	5.63	12674600	5.63	2307	北新路桥	SZ
14	2014-04-09	5.65	5.69	5.59	5.62	6278100	5.62	2307	北新路桥	SZ
15	2014-04-08	5.57	5.66	5.55	5.66	6813000	5.66	2307	北新路桥	SZ
17	2014-04-04	5.68	5.72	5.54	5.63	8363400	5.63	2307	北新路桥	SZ
18	2014-04-03	5.65	5.77	5.6	5.72	12066000	5.72	2307	北新路桥	SZ
19	2014-04-02	5.69	5.79	5.59	5.69	13882800	5.69	2307	北新路桥	SZ
20	2014-04-01	5.6	6.05	5.54	5.78	29809200	5.78	2307	北新路桥	SZ
21	2014-03-31	5.26	5.73	5.26	5.72	30573200	5.72	2307	北新路桥	SZ
22	2014-03-28	5.22	5.28	5.13	5.21	3601400	5.21	2307	北新路桥	SZ
23	2014-03-27	5.21	5.29	5.14	5.22	3397200	5.22	2307	北新路桥	SZ
24	2014-03-26	5.29	5.32	5.2	5.24	4798100	5.24	2307	北新路桥	SZ
25	2014-03-25	5.13	5.37	5.11	5.32	3982000	5.32	2307	北新路桥	SZ
26	2014-03-24	5.08	5.18	5.06	5.16	3670800	5.16	2307	北新路桥	SZ
27	2014-03-21	5	5.1	4.93	5.08	3261000	5.08	2307	北新路桥	SZ
28	2014-03-20	5.03	5.11	4.98	4.98	2456200	4.98	2307	北新路桥	SZ
29	2014-03-19	5.05	5.08	4.98	5.06	2127200	5.06	2307	北新路桥	SZ
30	2014-03-18	5.08	5.11	5.06	5.07	1714200	5.07	2307	北新路桥	SZ
31	2014-03-17	5	5.1	5	5.09	1866800	5.09	2307	北新路桥	SZ
32	2014-03-14	5.01	5.01	4.92	4.98	1790900	4.98	2307	北新路桥	SZ
33	2014-03-13	5	5.06	4.97	5.01	1820100	5.01	2307	北新路桥	SZ
34	2014-03-12	4.96	5.02	4.9	4.97	1704400	4.97	2307	北新路桥	SZ
35	2014-03-11	4.94	4.99	4.92	4.96	1494400	4.96	2307	北新路桥	SZ
36	2014-03-10	5.12	5.14	4.92	4.94	2781900	4.94	2307	北新路桥	SZ
37	2014-03-07	5.18	5.25	5.14	5.14	1849800	5.14	2307	北新路桥	SZ
38	2014-03-06	5.23	5.23	5.15	5.21	2398700	5.21	2307	北新路桥	SZ
39	2014-03-05	5.27	5.32	5.2	5.22	2741000	5.22	2307	北新路桥	SZ
40	2014-03-04	5.22	5.3	5.18	5.27	3297900	5.27	2307	北新路桥	SZ
41	2014-03-03	5.09	5.32	5.07	5.26	3740900	5.26	2307	北新路桥	SZ
42	2014-02-28	5.01	5.09	4.98	5.08	2233300	5.08	2307	北新路桥	SZ
43	2014-02-27	5.08	5.12	5	5.01	2631200	5.01	2307	北新路桥	SZ
44	2014-02-26	5	5.08	4.96	5.06	3107700	5.06	2307	北新路桥	SZ
45	2014-02-25	5.24	5.28	5	5.02	3821400	5.02	2307	北新路桥	SZ
46	2014-02-24	5.3	5.31	5.15	5.23	4712500	5.23	2307	北新路桥	SZ
47	2014-02-21	5.5	5.58	5.33	5.36	7446600	5.36	2307	北新路桥	SZ
48	2014-02-20	5.57	5.74	5.39	5.56	11826500	5.56	2307	北新路桥	SZ
49	2014-02-19	5.35	5.55	5.35	5.52	6141600	5.52	2307	北新路桥	SZ
50	2014-02-18	5.49	5.49	5.36	5.37	3204200	5.37	2307	北新路桥	SZ
51	2014-02-17	5.41	5.49	5.38	5.46	4833600	5.46	2307	北新路桥	SZ
52	2014-02-14	5.3	5.44	5.25	5.42	5964200	5.42	2307	北新路桥	SZ
53	2014-02-13	5.44	5.66	5.33	5.36	13425600	5.36	2307	北新路桥	SZ
54	2014-02-12	5.27	5.3	5.21	5.28	3041000	5.28	2307	北新路桥	SZ
55	2014-02-11	5.24	5.31	5.2	5.25	3670100	5.25	2307	北新路桥	SZ
56	2014-02-10	5.03	5.23	5.03	5.21	4070100	5.21	2307	北新路桥	SZ
57	2014-02-07	4.94	5.04	4.91	5.04	1514700	5.04	2307	北新路桥	SZ
62	2014-01-30	4.95	4.97	4.92	4.94	1333800	4.94	2307	北新路桥	SZ
63	2014-01-29	4.95	4.99	4.94	4.95	1472400	4.95	2307	北新路桥	SZ
64	2014-01-28	5.05	5.08	4.93	4.96	2983000	4.96	2307	北新路桥	SZ
65	2014-01-27	5.12	5.14	5.08	5.09	1525800	5.09	2307	北新路桥	SZ
66	2014-01-24	5.06	5.17	5.05	5.15	2784300	5.15	2307	北新路桥	SZ
67	2014-01-23	5.04	5.1	5.04	5.05	1790400	5.05	2307	北新路桥	SZ
68	2014-01-22	4.95	5.08	4.92	5.07	2007300	5.07	2307	北新路桥	SZ
69	2014-01-21	4.86	4.96	4.86	4.95	1360100	4.95	2307	北新路桥	SZ
70	2014-01-20	4.88	4.91	4.84	4.91	3201200	4.91	2307	北新路桥	SZ
71	2014-01-17	4.96	4.99	4.87	4.87	2126300	4.87	2307	北新路桥	SZ
72	2014-01-16	5.06	5.06	5	5	2457700	5	2307	北新路桥	SZ
73	2014-01-15	5.06	5.06	5	5.04	1335900	5.04	2307	北新路桥	SZ
74	2014-01-14	4.98	5.05	4.93	5.05	1278800	5.05	2307	北新路桥	SZ
75	2014-01-13	4.98	5.02	4.94	4.96	931700	4.96	2307	北新路桥	SZ
76	2014-01-10	5.12	5.14	4.9	4.97	2556400	4.97	2307	北新路桥	SZ
77	2014-01-09	5.17	5.26	5.14	5.14	2112700	5.14	2307	北新路桥	SZ
78	2014-01-08	5.26	5.27	5.16	5.22	1944700	5.22	2307	北新路桥	SZ
79	2014-01-07	5.23	5.27	5.18	5.23	1264900	5.23	2307	北新路桥	SZ
80	2014-01-06	5.41	5.41	5.22	5.25	1960200	5.25	2307	北新路桥	SZ
81	2014-01-03	5.49	5.5	5.4	5.42	1886100	5.42	2307	北新路桥	SZ
82	2014-01-02	5.44	5.54	5.44	5.49	1215300	5.49	2307	北新路桥	SZ
84	2013-12-31	5.43	5.53	5.42	5.47	1841900	5.47	2307	北新路桥	SZ
85	2013-12-30	5.43	5.51	5.42	5.47	1872100	5.47	2307	北新路桥	SZ
86	2013-12-27	5.33	5.45	5.3	5.43	1932900	5.43	2307	北新路桥	SZ
87	2013-12-26	5.5	5.6	5.37	5.38	3035800	5.38	2307	北新路桥	SZ
88	2013-12-25	5.38	5.43	5.35	5.43	1341300	5.43	2307	北新路桥	SZ
89	2013-12-24	5.37	5.46	5.32	5.38	1139900	5.38	2307	北新路桥	SZ
90	2013-12-23	5.32	5.43	5.3	5.34	1335200	5.34	2307	北新路桥	SZ
91	2013-12-20	5.49	5.51	5.31	5.35	2104100	5.35	2307	北新路桥	SZ
92	2013-12-19	5.63	5.65	5.5	5.5	1682500	5.5	2307	北新路桥	SZ
93	2013-12-18	5.56	5.65	5.54	5.6	1989700	5.6	2307	北新路桥	SZ
