Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	9.66	10.07	9.26	9.86	3978900	9.86	2514	宝馨科技	SZ
1	2014-04-28	11.15	11.38	10.07	10.07	6568200	10.07	2514	宝馨科技	SZ
2	2014-04-25	43.98	47.6	42.32	45.16	5695200	22.4	2514	宝馨科技	SZ
3	2014-04-24	41	44.58	40.32	44.1	3976900	21.87	2514	宝馨科技	SZ
4	2014-04-23	39.56	40.96	39.22	40.8	1261400	20.24	2514	宝馨科技	SZ
5	2014-04-22	40.44	40.66	39.04	39.44	993600	19.56	2514	宝馨科技	SZ
6	2014-04-21	41.6	41.7	40.18	40.44	1175900	20.06	2514	宝馨科技	SZ
7	2014-04-18	40	42.02	39.94	41.54	2527600	20.6	2514	宝馨科技	SZ
8	2014-04-17	39.3	40.16	39.06	39.74	498300	19.71	2514	宝馨科技	SZ
9	2014-04-16	39.7	40.08	39	39.66	720400	19.67	2514	宝馨科技	SZ
10	2014-04-15	40.74	40.76	39.82	39.92	503400	19.8	2514	宝馨科技	SZ
11	2014-04-14	39.68	40.58	39.66	40.4	619700	20.04	2514	宝馨科技	SZ
12	2014-04-11	40.18	40.6	39.6	39.66	910100	19.67	2514	宝馨科技	SZ
13	2014-04-10	40.74	41.36	40.7	40.86	1333600	20.27	2514	宝馨科技	SZ
14	2014-04-09	41	41.6	40.18	40.7	1883100	20.19	2514	宝馨科技	SZ
15	2014-04-08	39.34	40.72	39.1	40.14	1642400	19.91	2514	宝馨科技	SZ
17	2014-04-04	38.56	39.74	38.24	39.6	1341300	19.64	2514	宝馨科技	SZ
18	2014-04-03	38.38	40.22	38.12	38.54	1312200	19.12	2514	宝馨科技	SZ
19	2014-04-02	39.38	39.56	38.08	38.36	1452800	19.03	2514	宝馨科技	SZ
20	2014-04-01	36.2	39.64	36.16	39.5	2870400	19.59	2514	宝馨科技	SZ
21	2014-03-31	35.7	36.64	35.54	36.04	448100	17.88	2514	宝馨科技	SZ
22	2014-03-28	37.96	38.2	35.44	35.68	1647800	17.7	2514	宝馨科技	SZ
23	2014-03-27	40.6	40.6	37.78	37.96	1556800	18.83	2514	宝馨科技	SZ
24	2014-03-26	39.7	41	39.22	40.34	1847200	20.01	2514	宝馨科技	SZ
25	2014-03-25	37.26	39.56	37	39.5	1464300	19.59	2514	宝馨科技	SZ
26	2014-03-24	38.12	38.48	37.32	37.32	689900	18.51	2514	宝馨科技	SZ
27	2014-03-21	37.24	38.3	36	38.24	1136100	18.97	2514	宝馨科技	SZ
28	2014-03-20	39.4	39.4	37.36	37.36	1323000	18.53	2514	宝馨科技	SZ
29	2014-03-19	39.86	39.86	38.84	39.38	961300	19.53	2514	宝馨科技	SZ
30	2014-03-18	38.9	40.56	38.9	39.84	1485700	19.76	2514	宝馨科技	SZ
31	2014-03-17	37.6	39.34	37.5	39.1	1365600	19.39	2514	宝馨科技	SZ
32	2014-03-14	38.66	38.66	37.2	37.64	1760000	18.67	2514	宝馨科技	SZ
33	2014-03-13	38.28	38.78	37.42	38.66	881100	19.18	2514	宝馨科技	SZ
34	2014-03-12	37.84	39.3	37.52	38.38	1539300	19.04	2514	宝馨科技	SZ
35	2014-03-11	39.6	39.6	36.98	37.84	2070800	18.77	2514	宝馨科技	SZ
36	2014-03-10	41.78	42.82	40.04	40.06	2010900	19.87	2514	宝馨科技	SZ
37	2014-03-07	42.92	43.2	40.8	41.52	2289000	20.59	2514	宝馨科技	SZ
38	2014-03-06	40.98	42.94	40.98	42.86	2396200	21.26	2514	宝馨科技	SZ
39	2014-03-05	41.9	42.32	41	41.4	1122300	20.53	2514	宝馨科技	SZ
40	2014-03-04	42.14	42.3	40.1	41.58	1616700	20.62	2514	宝馨科技	SZ
41	2014-03-03	41.12	42.56	41.1	42.52	2181900	21.09	2514	宝馨科技	SZ
42	2014-02-28	39.6	42	39.08	41	2082100	20.34	2514	宝馨科技	SZ
43	2014-02-27	43.32	43.54	39.82	40	2208100	19.84	2514	宝馨科技	SZ
44	2014-02-26	44.98	45	41.24	43.08	2350800	21.37	2514	宝馨科技	SZ
45	2014-02-25	50.2	50.36	44.86	44.86	2260200	22.25	2514	宝馨科技	SZ
46	2014-02-24	48.98	50.28	48.16	49.84	1483800	24.72	2514	宝馨科技	SZ
47	2014-02-21	46.26	48.44	46.26	48.2	815400	23.91	2514	宝馨科技	SZ
48	2014-02-20	49.12	50.2	47	47.24	1867300	23.43	2514	宝馨科技	SZ
49	2014-02-19	50.38	51.6	48.92	49.08	2693600	24.34	2514	宝馨科技	SZ
50	2014-02-18	48	51.04	46.84	50.8	3882000	25.2	2514	宝馨科技	SZ
51	2014-02-17	47.64	49.92	47.3	48.1	2887500	23.86	2514	宝馨科技	SZ
52	2014-02-14	46.62	48.42	45.76	47.66	3090600	23.64	2514	宝馨科技	SZ
53	2014-02-13	48.8	52.38	48	48.3	7518700	23.96	2514	宝馨科技	SZ
54	2014-02-12	48.38	48.98	47.42	48.38	3170500	24	2514	宝馨科技	SZ
55	2014-02-11	50.3	50.4	46	48.6	4487500	24.11	2514	宝馨科技	SZ
56	2014-02-10	50	50.6	48.46	50.6	5326400	25.1	2514	宝馨科技	SZ
57	2014-02-07	49.8	50.32	48.8	50.2	5364700	24.9	2514	宝馨科技	SZ
62	2014-01-30	50.68	50.68	48.5	50.36	4491700	24.98	2514	宝馨科技	SZ
63	2014-01-29	48.58	51.2	48.14	50.92	6480000	25.26	2514	宝馨科技	SZ
64	2014-01-28	42.02	46.66	42.02	46.66	5461700	23.14	2514	宝馨科技	SZ
65	2014-01-27	39.7	43.56	38.6	42.42	3872900	21.04	2514	宝馨科技	SZ
66	2014-01-24	39.4	41	39.2	39.7	3295300	19.69	2514	宝馨科技	SZ
67	2014-01-23	39.8	40.28	39.06	39.6	1931700	19.64	2514	宝馨科技	SZ
68	2014-01-22	39.14	40.58	38.3	39.88	4279700	19.78	2514	宝馨科技	SZ
69	2014-01-21	37.5	39.36	37.5	38.96	4076400	19.32	2514	宝馨科技	SZ
70	2014-01-20	36.44	37.98	36	37.62	1539700	18.66	2514	宝馨科技	SZ
71	2014-01-17	37	38.1	36.4	36.42	1720200	18.06	2514	宝馨科技	SZ
72	2014-01-16	37.4	38.6	36.56	37.62	2666600	18.66	2514	宝馨科技	SZ
73	2014-01-15	36.22	39.4	35.5	37.36	3565700	18.53	2514	宝馨科技	SZ
74	2014-01-14	36	36.7	35.2	36.24	1969900	17.98	2514	宝馨科技	SZ
75	2014-01-13	38.8	38.8	34.8	35.9	3272100	17.81	2514	宝馨科技	SZ
76	2014-01-10	38.52	39	36.52	36.62	1789500	18.16	2514	宝馨科技	SZ
77	2014-01-09	38.92	40.4	38.32	38.56	2672700	19.13	2514	宝馨科技	SZ
78	2014-01-08	39.08	39.4	38	38.6	1911000	19.15	2514	宝馨科技	SZ
79	2014-01-07	38.5	39.02	37.2	38.42	2382100	19.06	2514	宝馨科技	SZ
80	2014-01-06	41.12	41.12	39.2	39.2	3637900	19.44	2514	宝馨科技	SZ
81	2014-01-03	39.4	41.92	38.7	41.56	5640400	20.61	2514	宝馨科技	SZ
82	2014-01-02	39.4	41.06	38.44	40.5	5084800	20.09	2514	宝馨科技	SZ
84	2013-12-31	38.4	38.72	36.46	38.24	4187600	18.97	2514	宝馨科技	SZ
85	2013-12-30	34.92	38.34	34.92	38.34	4831500	19.02	2514	宝馨科技	SZ
86	2013-12-27	34	35.5	33.86	34.86	2239200	17.29	2514	宝馨科技	SZ
87	2013-12-26	33.3	35.06	33	34.8	3238300	17.26	2514	宝馨科技	SZ
88	2013-12-25	32.5	33.3	32.12	33.2	1404000	16.47	2514	宝馨科技	SZ
89	2013-12-24	32.94	33.06	32.02	32.58	1805200	16.16	2514	宝馨科技	SZ
90	2013-12-23	34.8	35.78	33.32	33.4	1845500	16.57	2514	宝馨科技	SZ
91	2013-12-20	36.38	36.98	34.52	34.8	2626700	17.26	2514	宝馨科技	SZ
92	2013-12-19	32.46	35.64	32.46	35.64	2816600	17.68	2514	宝馨科技	SZ
93	2013-12-18	32.74	33.18	32.2	32.4	497000	16.07	2514	宝馨科技	SZ
94	2013-12-17	32.74	33.26	32.2	32.58	503100	16.16	2514	宝馨科技	SZ
95	2013-12-16	32.9	33.5	32.5	33.16	766800	16.45	2514	宝馨科技	SZ
96	2013-12-13	32.56	33.34	32.36	33.02	675100	16.38	2514	宝馨科技	SZ
97	2013-12-12	32.48	33.18	32.22	32.8	680800	16.27	2514	宝馨科技	SZ
98	2013-12-11	32.96	33	32.16	32.36	689600	16.05	2514	宝馨科技	SZ
99	2013-12-10	33.9	33.96	32.14	33.2	847100	16.47	2514	宝馨科技	SZ
100	2013-12-09	34.46	34.46	33.62	33.84	579200	16.79	2514	宝馨科技	SZ
101	2013-12-06	33.3	34.16	33.12	33.88	830100	16.8	2514	宝馨科技	SZ
102	2013-12-05	33.22	34.38	33.22	33.3	1225800	16.52	2514	宝馨科技	SZ
103	2013-12-04	32.84	34.5	32.84	33.54	1812800	16.64	2514	宝馨科技	SZ
104	2013-12-03	29.8	32.6	29.8	31.92	1595100	15.83	2514	宝馨科技	SZ
105	2013-12-02	33.8	33.82	31.82	31.82	2536700	15.78	2514	宝馨科技	SZ
106	2013-11-29	34.82	36	34.7	35.36	1949500	17.54	2514	宝馨科技	SZ
107	2013-11-28	35.86	35.86	34.4	34.8	2355800	17.26	2514	宝馨科技	SZ
108	2013-11-27	35.06	36.3	35.02	35.82	2763600	17.77	2514	宝馨科技	SZ
109	2013-11-26	34.34	35.72	33.36	35.72	3056500	17.72	2514	宝馨科技	SZ
110	2013-11-25	35.5	35.56	34.2	34.26	1999600	16.99	2514	宝馨科技	SZ
111	2013-11-22	34.14	35.68	34.14	35.46	2604200	17.59	2514	宝馨科技	SZ
112	2013-11-21	36.34	36.9	34.6	35	3739800	17.36	2514	宝馨科技	SZ
