Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	30.31	30.96	30.28	30.86	422400	30.86	300171	东富龙	SZ
1	2014-04-28	31.5	31.78	30.26	30.3	893000	30.3	300171	东富龙	SZ
2	2014-04-25	32.2	33.17	31.5	31.5	1555900	31.5	300171	东富龙	SZ
3	2014-04-24	31.77	32.16	31.23	31.97	809600	31.97	300171	东富龙	SZ
4	2014-04-23	31.57	31.81	31.31	31.79	518200	31.79	300171	东富龙	SZ
5	2014-04-22	31.92	32.39	31.35	31.57	805600	31.57	300171	东富龙	SZ
6	2014-04-21	32.14	32.68	31.88	32.25	912700	32.25	300171	东富龙	SZ
7	2014-04-18	32.75	32.75	32.31	32.37	937300	32.37	300171	东富龙	SZ
8	2014-04-17	32.85	33.12	32.8	32.86	529100	32.86	300171	东富龙	SZ
9	2014-04-16	32.66	32.9	32.18	32.82	611600	32.82	300171	东富龙	SZ
10	2014-04-15	33	33.52	32.68	32.69	1001700	32.69	300171	东富龙	SZ
11	2014-04-14	31.96	33.16	31.87	32.95	1557500	32.95	300171	东富龙	SZ
12	2014-04-11	32.15	32.16	31.63	31.95	981200	31.95	300171	东富龙	SZ
13	2014-04-10	32.58	32.67	32.1	32.42	993700	32.42	300171	东富龙	SZ
14	2014-04-09	31.3	32.56	31.3	32.49	1815600	32.49	300171	东富龙	SZ
15	2014-04-08	30.99	31.27	30.5	31.15	1480800	31.15	300171	东富龙	SZ
17	2014-04-04	30.65	31.31	30.65	31.2	754000	31.2	300171	东富龙	SZ
18	2014-04-03	30.79	31.11	30.56	30.89	697700	30.89	300171	东富龙	SZ
19	2014-04-02	31.26	31.44	30.52	30.79	815400	30.79	300171	东富龙	SZ
20	2014-04-01	30.42	31.3	30.42	31.26	1033600	31.26	300171	东富龙	SZ
21	2014-03-31	30.29	30.83	30.21	30.4	694100	30.4	300171	东富龙	SZ
22	2014-03-28	31.62	31.79	30.1	30.29	1739700	30.29	300171	东富龙	SZ
23	2014-03-27	33	33.08	31.53	31.62	1297000	31.62	300171	东富龙	SZ
24	2014-03-26	32.59	33.24	32.48	33	1135200	33	300171	东富龙	SZ
25	2014-03-25	32	33.09	31.95	32.4	1046100	32.4	300171	东富龙	SZ
26	2014-03-24	32.32	32.76	32.11	32.15	967400	32.15	300171	东富龙	SZ
27	2014-03-21	32.7	32.89	31.28	32.55	1962600	32.55	300171	东富龙	SZ
28	2014-03-20	34.3	34.59	32.73	32.73	1383800	32.73	300171	东富龙	SZ
29	2014-03-19	34.27	34.45	33.85	34.33	1064200	34.33	300171	东富龙	SZ
30	2014-03-18	34.25	35.07	34.02	34.3	1510100	34.3	300171	东富龙	SZ
31	2014-03-17	33.5	34.17	33.31	34.16	1227500	34.16	300171	东富龙	SZ
32	2014-03-14	33	33.57	32.71	33.47	1328100	33.47	300171	东富龙	SZ
33	2014-03-13	32.63	33.24	32.31	33.15	1145300	33.15	300171	东富龙	SZ
34	2014-03-12	32.74	33.66	32.25	32.55	1175900	32.55	300171	东富龙	SZ
35	2014-03-11	33.61	34	32.68	33	1557600	33	300171	东富龙	SZ
36	2014-03-10	34.61	35.01	33.52	33.6	1873400	33.6	300171	东富龙	SZ
37	2014-03-07	34.48	35.45	34.01	35.05	1769300	35.05	300171	东富龙	SZ
38	2014-03-06	34.81	34.82	33.25	34.49	1638000	34.49	300171	东富龙	SZ
39	2014-03-05	35.13	35.65	34.85	34.89	1297800	34.89	300171	东富龙	SZ
40	2014-03-04	35.46	35.75	34.43	35.01	1715500	35.01	300171	东富龙	SZ
41	2014-03-03	35.18	35.6	34.88	35.55	1563000	35.55	300171	东富龙	SZ
42	2014-02-28	34.85	35.26	34.33	35.19	1848500	35.19	300171	东富龙	SZ
43	2014-02-27	37.02	37.48	34.92	35.19	2748900	35.19	300171	东富龙	SZ
44	2014-02-26	36	36.86	34.8	36.7	2630400	36.7	300171	东富龙	SZ
45	2014-02-25	39.77	39.97	35.81	36.31	4500500	36.31	300171	东富龙	SZ
46	2014-02-24	38.06	39.72	37.63	39.51	3174100	39.51	300171	东富龙	SZ
47	2014-02-21	37.76	38.17	37.35	37.99	1884600	37.99	300171	东富龙	SZ
48	2014-02-20	38.47	38.77	37.5	37.71	2834600	37.71	300171	东富龙	SZ
49	2014-02-19	39.49	39.49	38.16	38.47	3599000	38.47	300171	东富龙	SZ
50	2014-02-18	40.69	41.17	39.75	40.06	1997800	40.06	300171	东富龙	SZ
51	2014-02-17	40.42	41.2	40.05	40.82	2342700	40.82	300171	东富龙	SZ
52	2014-02-14	38.65	40.3	38.14	40.15	3090600	40.15	300171	东富龙	SZ
53	2014-02-13	40.65	40.88	38.74	38.74	3418900	38.74	300171	东富龙	SZ
54	2014-02-12	39.31	41.5	39.3	41.08	4938200	41.08	300171	东富龙	SZ
55	2014-02-11	39.4	41.3	39.1	39.3	5451300	39.3	300171	东富龙	SZ
56	2014-02-10	37.53	40.6	36.78	39.6	5414000	39.6	300171	东富龙	SZ
57	2014-02-07	35.65	37.49	35.25	37.13	3279800	37.13	300171	东富龙	SZ
62	2014-01-30	36	36.79	35.78	35.79	2941400	35.79	300171	东富龙	SZ
63	2014-01-29	34.89	35.7	34.6	35.7	2076600	35.7	300171	东富龙	SZ
64	2014-01-28	35.6	35.99	34.52	34.88	2238700	34.88	300171	东富龙	SZ
65	2014-01-27	35.8	36.77	35.51	35.72	3178000	35.72	300171	东富龙	SZ
66	2014-01-24	35.25	36.44	35.11	36.02	3776900	36.02	300171	东富龙	SZ
67	2014-01-23	34.9	35.36	34.68	35.19	2743000	35.19	300171	东富龙	SZ
68	2014-01-22	34.35	34.86	33.58	34.84	3266100	34.84	300171	东富龙	SZ
69	2014-01-21	34.1	34.74	34.1	34.3	2140700	34.3	300171	东富龙	SZ
70	2014-01-20	33.78	34.49	33.68	34.25	1491800	34.25	300171	东富龙	SZ
71	2014-01-17	34.49	34.89	34.09	34.1	1409600	34.1	300171	东富龙	SZ
72	2014-01-16	34.5	35.71	34.41	34.63	2107200	34.63	300171	东富龙	SZ
73	2014-01-15	34.15	34.5	33.83	34.41	1674000	34.41	300171	东富龙	SZ
74	2014-01-14	33.55	34.4	33.5	34.38	1644500	34.38	300171	东富龙	SZ
75	2014-01-13	33.74	34.11	33.03	33.39	1988800	33.39	300171	东富龙	SZ
76	2014-01-10	34.7	34.73	33.41	33.74	3083300	33.74	300171	东富龙	SZ
77	2014-01-09	36.21	36.86	34.96	35	3562800	35	300171	东富龙	SZ
78	2014-01-08	35.59	37.34	35.05	36.6	7473100	36.6	300171	东富龙	SZ
79	2014-01-07	34.4	35.8	33.65	35.42	5081300	35.42	300171	东富龙	SZ
81	2014-01-03	34.4	36.17	34.37	36.05	4212200	36.05	300171	东富龙	SZ
82	2014-01-02	34	34.79	33.9	34.67	2272100	34.67	300171	东富龙	SZ
84	2013-12-31	35.15	35.18	33.88	34.13	3228000	34.13	300171	东富龙	SZ
85	2013-12-30	35.4	35.45	34.8	35.28	2694300	35.28	300171	东富龙	SZ
86	2013-12-27	34.98	35.45	34.66	35.29	3700700	35.29	300171	东富龙	SZ
87	2013-12-26	34.98	35.99	34.81	34.92	3355700	34.92	300171	东富龙	SZ
88	2013-12-25	35.9	35.9	34.28	35.11	7793100	35.11	300171	东富龙	SZ
89	2013-12-24	36	37.25	35.7	36.5	3519800	36.5	300171	东富龙	SZ
90	2013-12-23	35.31	36.39	34.8	35.79	3151300	35.79	300171	东富龙	SZ
91	2013-12-20	34.21	36.45	34.21	35.29	4650100	35.29	300171	东富龙	SZ
92	2013-12-19	33.65	34.86	33.65	34.3	2969000	34.3	300171	东富龙	SZ
93	2013-12-18	33.8	34.04	33.31	33.68	1241600	33.68	300171	东富龙	SZ
94	2013-12-17	33.45	34.8	33.3	33.8	1788000	33.8	300171	东富龙	SZ
95	2013-12-16	33.75	33.86	33	33.45	1813400	33.45	300171	东富龙	SZ
96	2013-12-13	34.65	34.65	33.8	33.88	2798300	33.88	300171	东富龙	SZ
97	2013-12-12	34.5	35.3	34.3	34.67	2485600	34.67	300171	东富龙	SZ
98	2013-12-11	34.24	34.55	33.8	34.52	2276400	34.52	300171	东富龙	SZ
99	2013-12-10	34.75	35.38	34.07	34.18	2755200	34.18	300171	东富龙	SZ
100	2013-12-09	33.96	34.98	33.96	34.75	2892500	34.75	300171	东富龙	SZ
101	2013-12-06	33.62	34.19	33.36	33.81	2485600	33.81	300171	东富龙	SZ
102	2013-12-05	34.9	35	33.57	33.87	5842400	33.87	300171	东富龙	SZ
103	2013-12-04	36.28	37.88	35.42	35.46	6262100	35.46	300171	东富龙	SZ
104	2013-12-03	34.58	37.28	33.44	36.6	7855600	36.6	300171	东富龙	SZ
105	2013-12-02	36.25	38.43	34.82	34.88	11006500	34.88	300171	东富龙	SZ
106	2013-11-29	35.12	38.69	35.12	38.69	9123300	38.69	300171	东富龙	SZ
107	2013-11-28	34.59	35.68	34.59	35.17	2798800	35.17	300171	东富龙	SZ
108	2013-11-27	34.88	35.76	34.61	34.72	3401600	34.72	300171	东富龙	SZ
109	2013-11-26	33.66	35.36	33.19	35.23	4868600	35.23	300171	东富龙	SZ
110	2013-11-25	33.7	34.68	33.41	33.55	2935900	33.55	300171	东富龙	SZ
111	2013-11-22	34.5	34.87	33.84	33.97	3120800	33.97	300171	东富龙	SZ
112	2013-11-21	33.72	35.58	33.48	34.51	4617700	34.51	300171	东富龙	SZ
113	2013-11-20	33.4	33.98	33.05	33.72	3432600	33.72	300171	东富龙	SZ
114	2013-11-19	32.01	34.46	31.99	33.62	8499600	33.62	300171	东富龙	SZ
115	2013-11-18	30.49	32.17	30.38	31.33	3845500	31.33	300171	东富龙	SZ
116	2013-11-15	29.9	30.59	29.72	30.29	2463000	30.29	300171	东富龙	SZ
117	2013-11-14	28.91	29.99	28.75	29.81	2164700	29.81	300171	东富龙	SZ
118	2013-11-13	29.18	29.35	28.8	28.8	987100	28.8	300171	东富龙	SZ
119	2013-11-12	28.4	29.59	28.25	29.28	2020900	29.28	300171	东富龙	SZ
120	2013-11-11	28	28.45	27	28.23	1185100	28.23	300171	东富龙	SZ
121	2013-11-08	29.17	29.29	28.13	28.2	1889000	28.2	300171	东富龙	SZ
122	2013-11-07	29.2	29.45	29.02	29.3	844500	29.3	300171	东富龙	SZ
123	2013-11-06	29.5	29.97	29.26	29.3	1515200	29.3	300171	东富龙	SZ
124	2013-11-05	29.25	29.64	29.08	29.64	900100	29.64	300171	东富龙	SZ
125	2013-11-04	28.91	29.87	28.88	29.5	1466400	29.5	300171	东富龙	SZ
126	2013-11-01	29.75	29.9	28.89	28.97	2312500	28.97	300171	东富龙	SZ
127	2013-10-31	30.05	30.6	29.71	29.91	1307700	29.91	300171	东富龙	SZ
128	2013-10-30	30.3	30.5	29.62	30.31	1686200	30.31	300171	东富龙	SZ
129	2013-10-29	31.37	31.9	29.06	30.36	3202800	30.36	300171	东富龙	SZ
130	2013-10-28	31.78	32.17	31.2	31.53	2301600	31.53	300171	东富龙	SZ
131	2013-10-25	30.7	31.95	30.45	31.8	2762700	31.8	300171	东富龙	SZ
132	2013-10-24	30.94	31.17	30.23	30.75	1905000	30.75	300171	东富龙	SZ
133	2013-10-23	31.66	32.28	30.92	31.26	2929300	31.26	300171	东富龙	SZ
134	2013-10-22	31.3	32.08	30.81	31.69	2880000	31.69	300171	东富龙	SZ
135	2013-10-21	30.15	31.58	30.03	31.48	2972100	31.48	300171	东富龙	SZ
136	2013-10-18	30.01	30.31	29.82	30.14	943200	30.14	300171	东富龙	SZ
137	2013-10-17	30.29	30.58	29.88	29.91	1192400	29.91	300171	东富龙	SZ
138	2013-10-16	31	31.35	29.95	30.23	2641700	30.23	300171	东富龙	SZ
139	2013-10-15	30.51	31.6	30.48	30.91	3269300	30.91	300171	东富龙	SZ
140	2013-10-14	29.78	30.53	29.78	30.26	1671500	30.26	300171	东富龙	SZ
141	2013-10-11	29.98	30.08	29.45	29.85	1838100	29.85	300171	东富龙	SZ
142	2013-10-10	30.56	30.57	29.76	29.79	2204800	29.79	300171	东富龙	SZ
143	2013-10-09	29.8	30.55	29.74	30.52	2173100	30.52	300171	东富龙	SZ
144	2013-10-08	30.27	30.33	29.7	30.04	2415000	30.04	300171	东富龙	SZ
150	2013-09-30	30.43	30.72	30.03	30.28	2293200	30.28	300171	东富龙	SZ
151	2013-09-27	29.2	30.58	29.12	30.27	3341000	30.27	300171	东富龙	SZ
152	2013-09-26	28.81	29.8	28.81	29.28	2266200	29.28	300171	东富龙	SZ
153	2013-09-25	29.5	29.5	28.95	28.97	1538400	28.97	300171	东富龙	SZ
154	2013-09-24	29.19	29.88	29.16	29.5	2448600	29.5	300171	东富龙	SZ
155	2013-09-23	28.78	29.15	28.7	29.1	1875100	29.1	300171	东富龙	SZ
157	2013-09-18	28.17	28.8	28.13	28.71	1239600	28.71	300171	东富龙	SZ
158	2013-09-17	28.87	28.98	28.1	28.17	1561800	28.17	300171	东富龙	SZ
159	2013-09-16	28.9	29.17	28.7	28.93	1644400	28.93	300171	东富龙	SZ
160	2013-09-13	28.68	28.8	28.45	28.67	2003800	28.67	300171	东富龙	SZ
161	2013-09-12	28.8	28.97	28.33	28.64	2137100	28.64	300171	东富龙	SZ
162	2013-09-11	29.61	29.61	28.5	28.78	3013500	28.78	300171	东富龙	SZ
163	2013-09-10	30.05	30.18	29.43	29.73	2254700	29.73	300171	东富龙	SZ
164	2013-09-09	30	30.2	29.69	29.94	2076600	29.94	300171	东富龙	SZ
165	2013-09-06	29.22	30.49	29.22	30.14	3393400	30.14	300171	东富龙	SZ
166	2013-09-05	29.11	29.76	29.08	29.22	2453600	29.22	300171	东富龙	SZ
167	2013-09-04	29.6	29.6	28.93	29.05	2034500	29.05	300171	东富龙	SZ
168	2013-09-03	29.3	29.8	29.08	29.5	2013700	29.5	300171	东富龙	SZ
169	2013-09-02	28.16	29.57	28.15	29.49	3260800	29.49	300171	东富龙	SZ
170	2013-08-30	28.91	29.15	28.02	28.12	3236600	28.12	300171	东富龙	SZ
171	2013-08-29	29.05	29.67	28.89	28.89	3336400	28.89	300171	东富龙	SZ
172	2013-08-28	27.93	29.8	27.75	28.91	6714400	28.91	300171	东富龙	SZ
173	2013-08-27	28.1	28.1	27.75	28.04	1677600	28.04	300171	东富龙	SZ
174	2013-08-26	27.7	28.2	27.51	28.08	2394600	28.08	300171	东富龙	SZ
175	2013-08-23	27.9	28.24	27.2	27.61	2743900	27.61	300171	东富龙	SZ
176	2013-08-22	27.58	28.28	27.58	27.9	2675000	27.9	300171	东富龙	SZ
177	2013-08-21	26.96	27.46	26.95	27.27	1207000	27.27	300171	东富龙	SZ
178	2013-08-20	27.45	27.66	27.04	27.1	2028200	27.1	300171	东富龙	SZ
179	2013-08-19	27.12	27.56	27.08	27.45	1726000	27.45	300171	东富龙	SZ
180	2013-08-16	27.77	28.17	27	27.11	2104700	27.11	300171	东富龙	SZ
181	2013-08-15	28.3	28.53	27.72	27.76	2186300	27.76	300171	东富龙	SZ
182	2013-08-14	28.5	28.57	28.15	28.36	2715500	28.36	300171	东富龙	SZ
183	2013-08-13	27.94	28.13	27.7	28.12	2410000	28.12	300171	东富龙	SZ
184	2013-08-12	28.09	28.38	27.66	27.94	2799900	27.94	300171	东富龙	SZ
185	2013-08-09	27.85	28.71	27.81	28.14	3090400	28.14	300171	东富龙	SZ
186	2013-08-08	27.4	27.97	27.25	27.61	1414700	27.61	300171	东富龙	SZ
187	2013-08-07	28.25	28.45	27.49	27.53	2224000	27.53	300171	东富龙	SZ
188	2013-08-06	28.33	28.5	27.92	28.25	2363700	28.25	300171	东富龙	SZ
189	2013-08-05	27.7	28.5	27.7	28.44	2574200	28.44	300171	东富龙	SZ
190	2013-08-02	28.06	28.18	27.7	27.73	2774200	27.73	300171	东富龙	SZ
191	2013-08-01	27.23	27.95	27.2	27.95	2314900	27.95	300171	东富龙	SZ
192	2013-07-31	27.2	27.59	27.12	27.2	1256800	27.2	300171	东富龙	SZ
193	2013-07-30	27.7	27.9	26.83	27.18	1926700	27.18	300171	东富龙	SZ
194	2013-07-29	27.31	28.18	27	27.78	2440600	27.78	300171	东富龙	SZ
195	2013-07-26	27.24	27.76	26.85	27.27	1873600	27.27	300171	东富龙	SZ
196	2013-07-25	28.88	28.88	27.38	27.45	4108000	27.45	300171	东富龙	SZ
