Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	16.79	17.06	16.6	17	2920400	17	300072	三聚环保	SZ
1	2014-04-28	18.11	18.56	16.47	16.8	7432200	16.8	300072	三聚环保	SZ
2	2014-04-25	18.63	18.88	18.28	18.3	3287700	18.3	300072	三聚环保	SZ
3	2014-04-24	18.46	18.57	18.32	18.45	1795600	18.45	300072	三聚环保	SZ
4	2014-04-23	18.63	18.76	18.29	18.41	4148300	18.41	300072	三聚环保	SZ
5	2014-04-22	19.06	19.14	18.46	18.63	3961300	18.63	300072	三聚环保	SZ
6	2014-04-21	19.5	19.5	19.01	19.01	4628200	19.01	300072	三聚环保	SZ
7	2014-04-18	19.02	19.35	18.83	19.32	6367200	19.32	300072	三聚环保	SZ
8	2014-04-17	18.99	19.1	18.87	18.99	2548200	18.99	300072	三聚环保	SZ
9	2014-04-16	18.93	19.04	18.48	18.85	3164300	18.85	300072	三聚环保	SZ
10	2014-04-15	18.98	19.26	18.86	18.91	4320000	18.91	300072	三聚环保	SZ
11	2014-04-14	18.69	18.95	18.69	18.93	3644500	18.93	300072	三聚环保	SZ
12	2014-04-11	18.92	18.95	18.63	18.68	2912400	18.68	300072	三聚环保	SZ
13	2014-04-10	18.9	19.37	18.9	19.03	6448400	19.03	300072	三聚环保	SZ
14	2014-04-09	18.68	19.17	18.68	18.85	4663000	18.85	300072	三聚环保	SZ
15	2014-04-08	18.35	18.54	18.08	18.51	2722300	18.51	300072	三聚环保	SZ
17	2014-04-04	18.24	18.4	18	18.37	2606700	18.37	300072	三聚环保	SZ
18	2014-04-03	18.17	18.36	18.03	18.2	3213000	18.2	300072	三聚环保	SZ
19	2014-04-02	18.35	18.47	17.9	18.16	2895900	18.16	300072	三聚环保	SZ
20	2014-04-01	17.8	18.4	17.77	18.3	2456000	18.3	300072	三聚环保	SZ
21	2014-03-31	18.39	18.7	17.77	17.9	4296400	17.9	300072	三聚环保	SZ
22	2014-03-28	19.45	19.65	18	18.4	6039700	18.4	300072	三聚环保	SZ
23	2014-03-27	19.88	19.99	19.42	19.43	4204000	19.43	300072	三聚环保	SZ
24	2014-03-26	19.75	19.9	19.37	19.68	5067800	19.68	300072	三聚环保	SZ
25	2014-03-25	19.63	19.79	19.17	19.33	3352900	19.33	300072	三聚环保	SZ
26	2014-03-24	19.03	19.88	19.02	19.63	6332700	19.63	300072	三聚环保	SZ
27	2014-03-21	18.59	19.32	18.2	18.97	3941200	18.97	300072	三聚环保	SZ
28	2014-03-20	19.3	19.58	18.7	18.72	4925600	18.72	300072	三聚环保	SZ
29	2014-03-19	19.8	19.81	19.3	19.42	5443200	19.42	300072	三聚环保	SZ
30	2014-03-18	19.05	19.94	18.86	19.8	8433700	19.8	300072	三聚环保	SZ
31	2014-03-17	18.35	19.07	18.22	19.05	4415200	19.05	300072	三聚环保	SZ
32	2014-03-14	18.7	18.7	18.16	18.27	3697100	18.27	300072	三聚环保	SZ
33	2014-03-13	18.01	18.8	18.01	18.79	4922200	18.79	300072	三聚环保	SZ
34	2014-03-12	18.58	19.07	17.86	18.19	6138400	18.19	300072	三聚环保	SZ
35	2014-03-11	18.79	19.25	18.29	18.75	4110800	18.75	300072	三聚环保	SZ
36	2014-03-10	18.85	19.46	18.53	18.8	5088100	18.8	300072	三聚环保	SZ
37	2014-03-07	19.18	19.65	18.8	19.07	3718200	19.07	300072	三聚环保	SZ
38	2014-03-06	19.9	20.18	19.05	19.33	5058600	19.33	300072	三聚环保	SZ
39	2014-03-05	20.22	20.3	19.7	19.91	5911600	19.91	300072	三聚环保	SZ
40	2014-03-04	20.18	20.37	19.56	19.91	7223900	19.91	300072	三聚环保	SZ
41	2014-03-03	18.75	20.3	18.73	20.21	10148500	20.21	300072	三聚环保	SZ
42	2014-02-28	18.4	18.8	17.8	18.72	7576200	18.72	300072	三聚环保	SZ
43	2014-02-27	19.7	19.77	18.4	18.4	7391300	18.4	300072	三聚环保	SZ
44	2014-02-26	19.23	19.65	18.7	19.55	5960400	19.55	300072	三聚环保	SZ
45	2014-02-25	20.1	20.4	19	19.31	9947700	19.31	300072	三聚环保	SZ
46	2014-02-24	20.1	20.5	19.88	20.18	9649500	20.18	300072	三聚环保	SZ
47	2014-02-21	19.69	20	19.18	19.7	6725200	19.7	300072	三聚环保	SZ
48	2014-02-20	20.55	20.6	18.7	19.74	12142600	19.74	300072	三聚环保	SZ
49	2014-02-19	21.41	21.69	20.25	20.6	12808800	20.6	300072	三聚环保	SZ
50	2014-02-18	21.6	22.2	21.29	21.53	10582600	21.53	300072	三聚环保	SZ
51	2014-02-17	21.62	22.35	21.48	21.6	14088000	21.6	300072	三聚环保	SZ
52	2014-02-14	21.57	21.98	21.2	21.48	6565400	21.48	300072	三聚环保	SZ
53	2014-02-13	22.11	22.45	21.38	21.52	10918400	21.52	300072	三聚环保	SZ
54	2014-02-12	20.59	22.55	20.59	21.9	16880500	21.9	300072	三聚环保	SZ
55	2014-02-11	21.54	21.95	20.19	20.5	13824100	20.5	300072	三聚环保	SZ
56	2014-02-10	21.1	21.57	20.69	21.4	9020200	21.4	300072	三聚环保	SZ
57	2014-02-07	20.87	21.66	20.68	21.1	6897600	21.1	300072	三聚环保	SZ
