Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	4.8	4.89	4.68	4.83	4970900	4.83	2172	澳洋科技	SZ
1	2014-04-28	5.22	5.22	4.8	4.81	5884000	4.81	2172	澳洋科技	SZ
2	2014-04-25	5.2	5.29	5.19	5.22	3568100	5.22	2172	澳洋科技	SZ
3	2014-04-24	5.27	5.29	5.16	5.21	4235500	5.21	2172	澳洋科技	SZ
4	2014-04-23	5.3	5.4	5.26	5.3	4689600	5.3	2172	澳洋科技	SZ
5	2014-04-22	5.28	5.34	5.15	5.25	5220600	5.25	2172	澳洋科技	SZ
6	2014-04-21	5.35	5.45	5.28	5.28	5653600	5.28	2172	澳洋科技	SZ
7	2014-04-18	5.33	5.42	5.25	5.41	4583300	5.41	2172	澳洋科技	SZ
8	2014-04-17	5.55	5.55	5.3	5.32	9969100	5.32	2172	澳洋科技	SZ
9	2014-04-16	5.5	5.57	5.47	5.5	5209100	5.5	2172	澳洋科技	SZ
10	2014-04-15	5.65	5.67	5.46	5.51	8720200	5.51	2172	澳洋科技	SZ
11	2014-04-14	5.59	5.68	5.55	5.64	9532800	5.64	2172	澳洋科技	SZ
12	2014-04-11	5.41	5.61	5.37	5.61	13880000	5.61	2172	澳洋科技	SZ
13	2014-04-10	5.61	5.68	5.46	5.47	15268400	5.47	2172	澳洋科技	SZ
14	2014-04-09	5.54	5.79	5.51	5.65	18405500	5.65	2172	澳洋科技	SZ
15	2014-04-08	5.45	5.57	5.42	5.5	9565800	5.5	2172	澳洋科技	SZ
17	2014-04-04	5.5	5.55	5.4	5.52	8673900	5.52	2172	澳洋科技	SZ
18	2014-04-03	5.48	5.58	5.38	5.52	12217400	5.52	2172	澳洋科技	SZ
19	2014-04-02	5.58	5.71	5.41	5.51	19191500	5.51	2172	澳洋科技	SZ
20	2014-04-01	5.48	5.7	5.3	5.68	21573800	5.68	2172	澳洋科技	SZ
21	2014-03-31	5.28	5.78	5.22	5.6	28880500	5.6	2172	澳洋科技	SZ
22	2014-03-28	5.46	5.57	5.18	5.26	24131200	5.26	2172	澳洋科技	SZ
