Serial	Date	Open	High	Low	Close	Volume	Adj Close	code	name	market
0	2014-04-29	8.53	8.73	8.53	8.72	375900	8.72	18	ST中冠A	SZ
1	2014-04-28	8.87	8.91	8.52	8.65	966000	8.65	18	ST中冠A	SZ
2	2014-04-25	8.94	9	8.86	8.94	658500	8.94	18	ST中冠A	SZ
3	2014-04-24	9.01	9.01	8.92	9	786200	9	18	ST中冠A	SZ
4	2014-04-23	9.03	9.05	8.93	9.01	450200	9.01	18	ST中冠A	SZ
5	2014-04-22	9.03	9.09	8.96	9.04	935900	9.04	18	ST中冠A	SZ
6	2014-04-21	9.05	9.09	8.89	9.05	808200	9.05	18	ST中冠A	SZ
7	2014-04-18	8.98	9.09	8.86	9.09	858500	9.09	18	ST中冠A	SZ
8	2014-04-17	9.14	9.15	8.8	9.05	2793500	9.05	18	ST中冠A	SZ
9	2014-04-16	9.08	9.2	9.06	9.11	649900	9.11	18	ST中冠A	SZ
10	2014-04-15	9.2	9.2	9.09	9.1	873000	9.1	18	ST中冠A	SZ
11	2014-04-14	9.1	9.2	9.05	9.2	1347600	9.2	18	ST中冠A	SZ
12	2014-04-11	9.08	9.11	9.01	9.1	1111100	9.1	18	ST中冠A	SZ
13	2014-04-10	9.1	9.19	9.03	9.12	1958100	9.12	18	ST中冠A	SZ
14	2014-04-09	9.05	9.16	9.03	9.13	1062700	9.13	18	ST中冠A	SZ
15	2014-04-08	9.01	9.13	8.92	9.08	896300	9.08	18	ST中冠A	SZ
17	2014-04-04	9.02	9.09	8.97	9.06	420900	9.06	18	ST中冠A	SZ
18	2014-04-03	9.08	9.14	9	9.05	483400	9.05	18	ST中冠A	SZ
19	2014-04-02	9.12	9.18	9.05	9.08	570900	9.08	18	ST中冠A	SZ
20	2014-04-01	8.87	9.15	8.81	9.12	1228300	9.12	18	ST中冠A	SZ
21	2014-03-31	9.16	9.22	8.86	8.87	1395100	8.87	18	ST中冠A	SZ
22	2014-03-28	9.4	9.47	9.15	9.15	1607600	9.15	18	ST中冠A	SZ
23	2014-03-27	9.26	9.58	9.24	9.45	2459200	9.45	18	ST中冠A	SZ
24	2014-03-26	9.32	9.4	9.24	9.25	1299700	9.25	18	ST中冠A	SZ
25	2014-03-25	9.3	9.44	9.21	9.36	1554900	9.36	18	ST中冠A	SZ
26	2014-03-24	9.28	9.39	9.17	9.35	1781600	9.35	18	ST中冠A	SZ
27	2014-03-21	9.14	9.33	8.91	9.28	2092300	9.28	18	ST中冠A	SZ
28	2014-03-20	9.23	9.64	9.1	9.27	3003200	9.27	18	ST中冠A	SZ
29	2014-03-19	9.34	9.45	9.11	9.23	2581600	9.23	18	ST中冠A	SZ
30	2014-03-18	9.24	9.72	9.24	9.48	3450500	9.48	18	ST中冠A	SZ
31	2014-03-17	9.23	9.46	8.85	9.36	3817100	9.36	18	ST中冠A	SZ
32	2014-03-14	9.7	10.15	9.23	9.5	6271800	9.5	18	ST中冠A	SZ
33	2014-03-13	10.64	11.21	10.19	10.25	11095400	10.25	18	ST中冠A	SZ
35	2014-03-11	9.96	10.2	9.84	10.2	2273100	10.2	18	ST中冠A	SZ
36	2014-03-10	9.78	10.18	9.72	9.96	2523000	9.96	18	ST中冠A	SZ
37	2014-03-07	9.73	9.79	9.64	9.74	307500	9.74	18	ST中冠A	SZ
38	2014-03-06	9.43	9.76	9.39	9.73	837100	9.73	18	ST中冠A	SZ
39	2014-03-05	9.4	9.62	9.37	9.54	584000	9.54	18	ST中冠A	SZ
40	2014-03-04	9.21	9.37	9.21	9.36	331000	9.36	18	ST中冠A	SZ
41	2014-03-03	9.24	9.32	9.12	9.28	553000	9.28	18	ST中冠A	SZ
42	2014-02-28	9.33	9.4	9.1	9.3	490300	9.3	18	ST中冠A	SZ
43	2014-02-27	9.52	9.55	9.37	9.41	301100	9.41	18	ST中冠A	SZ
44	2014-02-26	9.37	9.52	9.12	9.49	284200	9.49	18	ST中冠A	SZ
45	2014-02-25	9.53	9.69	9.06	9.46	600700	9.46	18	ST中冠A	SZ
46	2014-02-24	9.47	9.57	9.4	9.54	240500	9.54	18	ST中冠A	SZ
47	2014-02-21	9.53	9.55	9.4	9.55	253700	9.55	18	ST中冠A	SZ
48	2014-02-20	9.65	9.75	9.54	9.54	351500	9.54	18	ST中冠A	SZ
49	2014-02-19	9.74	9.8	9.58	9.64	469100	9.64	18	ST中冠A	SZ
50	2014-02-18	9.69	9.85	9.64	9.74	354200	9.74	18	ST中冠A	SZ
51	2014-02-17	9.68	9.93	9.66	9.75	825800	9.75	18	ST中冠A	SZ
52	2014-02-14	9.47	9.75	9.47	9.66	438000	9.66	18	ST中冠A	SZ
53	2014-02-13	9.7	9.7	9.45	9.46	464600	9.46	18	ST中冠A	SZ
54	2014-02-12	9.37	9.76	9.37	9.67	782400	9.67	18	ST中冠A	SZ
55	2014-02-11	9.39	9.48	9.31	9.36	664500	9.36	18	ST中冠A	SZ
56	2014-02-10	9.3	9.49	9.2	9.33	867900	9.33	18	ST中冠A	SZ
57	2014-02-07	9.09	9.33	9.07	9.27	728700	9.27	18	ST中冠A	SZ
62	2014-01-30	9.04	9.15	8.96	9.1	330700	9.1	18	ST中冠A	SZ
63	2014-01-29	9.06	9.14	9	9.12	371700	9.12	18	ST中冠A	SZ
64	2014-01-28	9.11	9.22	8.95	9.05	246500	9.05	18	ST中冠A	SZ
65	2014-01-27	9.07	9.25	8.92	9.1	362600	9.1	18	ST中冠A	SZ
66	2014-01-24	9	9.18	8.9	9.09	449900	9.09	18	ST中冠A	SZ
67	2014-01-23	9.05	9.12	8.92	8.98	184800	8.98	18	ST中冠A	SZ
68	2014-01-22	9.01	9.07	8.9	9.07	496300	9.07	18	ST中冠A	SZ
69	2014-01-21	8.87	8.93	8.75	8.93	184100	8.93	18	ST中冠A	SZ
70	2014-01-20	8.95	8.95	8.7	8.86	171000	8.86	18	ST中冠A	SZ
71	2014-01-17	8.94	8.95	8.71	8.95	242200	8.95	18	ST中冠A	SZ
72	2014-01-16	9.04	9.05	8.9	8.95	277900	8.95	18	ST中冠A	SZ
73	2014-01-15	8.95	9.02	8.86	8.95	144400	8.95	18	ST中冠A	SZ
74	2014-01-14	8.92	8.96	8.84	8.94	150200	8.94	18	ST中冠A	SZ
75	2014-01-13	8.93	9.09	8.85	8.88	143300	8.88	18	ST中冠A	SZ
76	2014-01-10	9	9.09	8.91	8.99	130000	8.99	18	ST中冠A	SZ
77	2014-01-09	9.2	9.25	9.03	9.12	219600	9.12	18	ST中冠A	SZ
78	2014-01-08	9.28	9.28	9.08	9.22	166000	9.22	18	ST中冠A	SZ
79	2014-01-07	9.18	9.23	9.06	9.22	169300	9.22	18	ST中冠A	SZ
80	2014-01-06	9.2	9.25	9.01	9.16	234400	9.16	18	ST中冠A	SZ
81	2014-01-03	9.43	9.55	9.27	9.29	313100	9.29	18	ST中冠A	SZ
82	2014-01-02	9.58	9.73	9.45	9.5	285000	9.5	18	ST中冠A	SZ
84	2013-12-31	9.46	9.61	9.33	9.57	387200	9.57	18	ST中冠A	SZ
85	2013-12-30	9.42	9.55	9.22	9.49	612400	9.49	18	ST中冠A	SZ
86	2013-12-27	8.88	9.38	8.88	9.38	1441200	9.38	18	ST中冠A	SZ
87	2013-12-26	8.93	9.07	8.8	8.93	729700	8.93	18	ST中冠A	SZ
88	2013-12-25	8.83	8.96	8.79	8.92	293600	8.92	18	ST中冠A	SZ
89	2013-12-24	8.77	8.99	8.77	8.85	538800	8.85	18	ST中冠A	SZ
90	2013-12-23	8.67	8.81	8.62	8.79	271100	8.79	18	ST中冠A	SZ
91	2013-12-20	8.61	8.71	8.52	8.7	371100	8.7	18	ST中冠A	SZ
92	2013-12-19	8.66	8.74	8.61	8.62	233500	8.62	18	ST中冠A	SZ
93	2013-12-18	8.67	8.75	8.56	8.74	372200	8.74	18	ST中冠A	SZ
94	2013-12-17	8.75	8.75	8.55	8.74	285500	8.74	18	ST中冠A	SZ
95	2013-12-16	8.79	8.84	8.66	8.75	263700	8.75	18	ST中冠A	SZ
96	2013-12-13	8.71	8.85	8.7	8.85	391700	8.85	18	ST中冠A	SZ
97	2013-12-12	8.74	8.8	8.68	8.78	232800	8.78	18	ST中冠A	SZ
98	2013-12-11	8.74	8.81	8.63	8.71	403300	8.71	18	ST中冠A	SZ
99	2013-12-10	8.8	8.86	8.69	8.74	531900	8.74	18	ST中冠A	SZ
100	2013-12-09	8.71	8.87	8.68	8.87	365300	8.87	18	ST中冠A	SZ
101	2013-12-06	8.85	8.9	8.8	8.85	292600	8.85	18	ST中冠A	SZ
102	2013-12-05	8.89	8.92	8.82	8.88	333800	8.88	18	ST中冠A	SZ
103	2013-12-04	8.89	9.24	8.77	8.88	1138400	8.88	18	ST中冠A	SZ
104	2013-12-03	8.77	9.01	8.76	8.93	1446700	8.93	18	ST中冠A	SZ
